number	settlement_type	Russian_name	Selsoviet	raion	collection_date	native_speaker	coordinate	lang	dial	comment
30.	п.	Зеленый Курган	Киватского-с/с	Кузоватовского р-на., Ульяновская обл.	2002	NA	53°32′00″, 47°41′00″	x		
8.	п.	Знаменка	Засурско-Безднинского-с/с	Алатырского р-на., Чувашия.	2002	NA	54°50′12″, 46°41′03″	x		
30.	п.	Ивановка	Бижбулякского-с/с	Бижбулякского р-на., Башкортостан.	2002	NA	53°44′23″, 54°10′26″	x		
13.	с.	Иванцево	Иванцевского-с/с	Лукояновского р-на., Нижегородская обл.	2002	NA	54°59′42″, 44°23′03″	E	говор3	
31.	с.	Ижбердино	Ижбердинского-с/с	Кугарчинского р-на., Башкортостан.	2002	NA	52°30′53″, 56°36′48″	x		
32.	д.	Ик-Вершина	Малиновского-с/с	Белебеевского р-на., Башкортостан.	2002	NA	53°57′05″, 54°05′14″	x		
33.	с.	Ильтеряково	Шаймуратовского-с/с	Кармаскалинского р-на., Башкортостан.	2002	NA	54°25′03″, 56°01′42″	x		
31.	с.	Илюшкино	Шалкинского-с/с	Павловского р-на., Ульяновская обл.	2002	NA	52°35′43″, 47°06′13″	x		
3.	с.	Инюшево	Шадринцевского-с/с	Тальменского р-на., Алтайский край.	2002	NA	52°46′00″, 82°37′00″	x		
32.	д.	Искра	Степно-Матюнинского-с/с	Майнского р-на., Ульяновская обл.	2002	NA	54°06′00″, 47°36′00″	x		
14.	с.	Итманово	Ушаковского-с/с	Гагинского р-на., Нижегородская обл.	2002	NA	55°8′44″, 44°44′40″	E		
73.	с.	Кабаевка	Аксенкинского-с/с	Северного р-на., Оренбургская обл.	2002	NA	53°59′00″, 53°06′00″	x		
80.	с.	Кабаево	Кабаевского-с/с	Дубенского р-на., Мордовия.	2002	NA	54°31′00″, 46°28′00″	E		MissingCoord
81.	с.	Кажлодка	Кажлодского-с/с	Торбеевского р-на., Мордовия.	2002	NA	54°01′00″, 43°10′00″	E		MissingCoord
1.	с.	Калиновка	Калиновского-с/с	Сорокинского р-на., Тюменская обл.	2002	NA	56°50′00″, 69°25′00″	M		
5.	д.	Калиновка	Кундравинского-с/с	Чебаркульского р-на., Челябинская обл.	2002	NA	54°43′21″, 60°37′33″	x		
33.	д.	Калиновка	Телятниковского-с/с	Николаевского р-на., Ульяновская обл.	2002	NA	53°07′00″, 47°12′00″	x		
4.	с.	Калманка	Воскресенского-с/с	Сорокинского р-на., Алтайский край.	2002	NA	52°53′57″, 83°32′36″	x		
35.	с.	Каменка	Каменского-с/с	Бижбулякского р-на., Башкортостан.	2002	NA	53°35′56″, 53°59′08″	E		
16.	д.	Каменка	Староберезовского-с/с	Сергачского р-на., Нижегородская обл.	2002	NA	55°29′46″, 45°43′20″	E		MissingCoord
5.	с.	Камышенка	Черемушкинского-с/с	Залесовского р-на., Алтайский край.	2002	NA	53°58′36″, 84°9′18″	x		
64.	п.	Камышла	Тимошкинского-с/с	Матвеевского р-на., Оренбургская обл.	2002	NA	53°23′00″, 53°26′00″	x		
65.	с.	Камышлинка	Староборискинского-с/с	Северного р-на., Оренбургская обл.	2002	NA	54°11′19″, 52°28′38″	x		
66.	с.	Камышсадак	Камышсадакского-с/с	Абдулинского р-на., Оренбургская обл.	2002	NA	53°42′00″, 53°39′00″	x		
88.	с.	Каньгуши	Каньгушанского-с/с	Ельниковского р-на., Мордовия.	2002	NA	54°32′00″, 43°47′00″	M		
36.	с.	Карамаскалы	Кададаевского-с/с	Стерлитамакского р-на., Башкортостан.	2002	NA	53°44′18″, 55°52′17″	x		
37.	д.	Каран	Поляковского-с/с	Давлекановского р-на., Башкортостан.	2002	NA	54°19′23″, 55°02′33″	x		
90.	с.	Каргашино	Каргашинского-с/с	Зубово-Полянского р-на., Мордовия.	2002	NA	54°12′07″, 42°36′32″	M		
17.	с.	Кардавиль	Понетаевского-с/с	Шатковского р-на., Нижегородская обл.	2002	NA	55°07′00″, 43°51′00″	E	говор4	
94.	с.	Качелай	Качелайского-с/с	Кочкуровского р-на., Мордовия.	2002	NA	53°55′58″, 45°40′08″	E		
95.	с.	Кельвядни	Кельвядинского-с/с	Ардатовского р-на., Мордовия.	2002	NA	54°42′00″, 46°20′00″	E		
18.	с.	Кельдюшево	Большемаресьевского-с/с	Лукояновского р-на., Нижегородская обл.	2002	NA	54°59′00″, 44°59′00″	E		
96.	с.	Кендя	Кендянского-с/с	Ичалковского р-на., Мордовия.	2002	NA	54°44′00″, 45°03′00″	E		
97.	д.	Керетино	Волгапинского-с/с	Ковылкинского р-на., Мордовия.	2002	NA	54°01′59″, 43°55′00″	M		
98.	с.	Кечушево	Кечушевского-с/с	Ардатовского р-на., Мордовия.	2002	NA	54°45′00″, 46°07′00″	E		
34.	с.	Кивать	Киватского-с/с	Кузоватовского р-на., Ульяновская обл.	2002	NA	53°27′48″, 47°40′57″	x		
68.	д.	Кивацкое	Аксаковского-с/с	Бугурусланского р-на., Оренбургская обл.	2002	NA	53°50′23″, 52°36′56″	x		
40.	с.	Кижеватово	Чемодановского-с/с	Пензенского р-на., Пензенская обл.	2002	NA	53°12′50″, 45°17′25″	M		
69.	п.	Кинель	Старокульшариповского-с/с	Асекеевского р-на., Оренбургская обл.	2002	NA	53°28′00″, 53°01′00″	x		
100.	с.	Киржеманы	Алексеевского-с/с	Чамзинского р-на., Мордовия.	2002	NA	54°24′26″, 45°46′48″	E		
99.	с.	Киржеманы	Киржеманского-с/с	Атяшевского р-на., Мордовия.	2002	NA	54°35′23″, 46°06′04″	E		
70.	д.	Кирсановка	Яковлевского-с/с	Северного р-на., Оренбургская обл.	2002	NA	54°05′00″, 52°32′00″	x		
71.	с.	Кирюшкино	Кирюшкинского-с/с	Бугурусланского р-на., Оренбургская обл.	2002	NA	53°34′24″, 52°18′07″	x		
19.	с.	Кисленка	Тенекаевского-с/с	Пильнинского р-на., Нижегородская обл.	2002	NA	55°30′46″, 45°57′13″	E		
42.	с.	Китунькино	Китунькинского-с/с	Лопатинского р-на., Пензенская обл.	2002	NA	52°34′52″, 46°01′03″	M		
101.	с.	Кичатово	Волгапинского-с/с	Ковылкинского р-на., Мордовия.	2002	NA	54°01′59″, 43°55′00″	M		
102.	с.	Кишалы	Кишалинского-с/с	Атюрьевского р-на., Мордовия.	2002	NA	54°22′30″, 43°12′00″	M		
103.	д.	Клопинка	Стрельниковского-с/с	Атюрьевского р-на., Мордовия.	2002	NA	54°23′00″, 43°15′00″	x		
72.	с.	Ключевка	Ключевского-с/с	Пономаревского р-на., Оренбургская обл.	2002	NA	53°19′00″, 54°07′00″	x		
38.	с.	Кожай-Андреево	Каратовского-с/с	Туймазинского р-на., Башкортостан.	2002	NA	54°19′25″, 53°30′08″	x		
39.	с.	Кожай-Максимово	Бижбулякского-с/с	Кожай-Ик-Вершинского р-на., Башкортостан.	2002	NA	53°52′23″, 54°01′08″	E		
43.	с.	Козловка	Козловского-с/с	Белинского р-на., Пензенская обл.	2002	NA	52°56′07″, 43°12′35″	M		
74.	п.	Коминтерн	Коминтерновского-с/с	Кваркенского р-на., Оренбургская обл.	2002	NA	52°22′38″, 59°22′34″	x		
75.	п.	Комсомолец	Токского-с/с	Красногвардейского р-на., Оренбургская обл.	2002	NA	52°51′04″, 53°28′48″	x		
40.	п.	Константино-Александровка	Первомайского-с/с	Стерлитамакского р-на., Башкортостан.	2002	NA	53°54′07″, 55°28′29″	x		
1.	д.	Кораблевка	Луговского-с/с	Устьуйского р-на., Курганская обл.	2002	NA	55°34′00″, 64°45′00″	x		
41.	д.	Корнеевка	Старокалкашевского-с/с	Стерлибашевского р-на., Башкортостан.	2002	NA	53°28′08″, 55°28′55″	x		
76.	с.	Коровино	Коровинского-с/с	Бугурусланского р-на., Оренбургская обл.	2002	NA	53°37′00″, 52°25′00″	E		
46.	с.	Корсаевка	Корсаевского-с/с	Белинского р-на., Пензенская обл.	2002	NA	52°59′30″, 43°13′17″	M		
77.	д.	Коскуль	NA	Светлинского р-на., Оренбургская обл.	2002	NA	51°08′30″, 61°07′59″	x		
36.	с.	Коченяевка	Каргинского-с/с	Вешкаймского р-на., Ульяновская обл.	2002	NA	53°52′27″, 46°59′33″	E		
112.	с.	Кочетовка	Кочетовского-с/с	Инсарского р-на., Мордовия.	2002	NA	53°47′47″, 44°15′25″	M		
3.	с.	Кочкуровка	Сосновского-с/с	Ведовского р-на., Кемеровская обл.	2002	NA	54°23′35″, 85°33′57″	x		
42.	п.	Красная Горка	Зириклинского-с/с	Бижбулякского р-на., Башкортостан.	2002	NA	53°41′29″, 54°01′39″	E		
37.	п.	Красная Поляна	Кузоватовского-с/с	_Кузоватовского р-на., Ульяновская обл.	2002	NA	53°25′51″, 46°47′10″	x		
38.	п.	Красный Городок	Чердаклинского-с/с	Чердаклинского р-на., Ульяновская обл.	2002	NA	54°23′00″, 49°04′00″	x		
39.	п.	Красный Орел	Бряндинского-с/с	Чердаклинского р-на., Ульяновская обл.	2002	NA	54°23′00″, 49°04′00″	x		
40.	с.	Кудажлейка	Осетинского-с/с	Барышского р-на., Ульяновская обл.	2002	NA	53°39′00″, 47°07′00″	x		
41.	с.	Кузоватово	Кузоватовского-с/с	Кузоватовского р-на., Ульяновская обл.	2002	NA	53°32′47″, 47°41′01″	x		
44.	д.	Кузьминовка	Кадыргуловского-с/с	Давлекановского р-на., Башкортостан.	2002	NA	54°07′44″, 55°30′28″	x		
43.	п.	Кузьминовка	Семенкинского-с/с	Аургазинского р-на., Башкортостан.	2002	NA	53°47′49″, 55°34′39″	x		
45.	с.	Кузьминовка	Федоровского-с/с	Федоровского р-на., Башкортостан.	2002	NA	54°41′19″, 56°08′10″	M		
46.	п.	Кузьминское	Мелеузовского-с/с	Мелеузовского р-на., Башкортостан.	2002	NA	52°55′29″, 55°55′58″	x		
6.	с.	Кулевчи	Кулевчинского-с/с	Брединского р-на., Челябинская обл.	2002	NA	53°09′41″, 61°25′26″	x		
125.	с.	Кураево	Кураевского-с/с	Теньгушевского р-на., Мордовия.	2002	NA	54°42′00″, 42°38′00″	E		
42.	с.	Курмаевка	Большечириклейского-с/с	Николаевского р-на., Ульяновская обл.	2002	NA	53°07′00″, 47°12′00″	x		
10.	п.	Кученяево	Засурско-Безднинского-с/с	Алатырского р-на., Чувашия.	2002	NA	54°49′08″, 46°41′11″	x		
131.	с.	Левжа	Левженского-с/с	Рузаевского р-на., Мордовия.	2002	NA	54°05′04″, 45°00′35″	M		
54.	д.	Линёвка	Козловского-с/с	Белинского р-на., Пензенская обл.	2002	NA	52°55′18″, 43°16′53″	M		
48.	д.	Лугавушка	Старокалкашевского-с/с	Стерлибашевского р-на., Башкортостан.	2002	NA	53°28′40″, 55°29′39″	x		
4.	д.	Лукьяновка	Котинского-с/с	Прокопьевском р-на., Кемеровская обл.	2002	NA	54°13′04″, 86°42′46″	x		
146.	с.	Луньга	Луньгинского-с/с	Ардатовского р-на., Мордовия.	2002	NA	54°47′00″, 45°57′00″	E		
43.	п.	Лысая Гора	Еделевского-с/с	Кузоватовского р-на., Ульяновская обл.	2002	NA	53°32′00″, 47°41′00″	x		
49.	д.	Лысогорка	Зириклинского-с/с	Бижбулякского р-на., Башкортостан.	2002	NA	53°39′17″, 54°00′15″	E		
50.	д.	Макеевка	Сарайсинского-с/с	Стерлибашевского р-на., Башкортостан.	2002	NA	53°21′00″, 55°38′00″	x		
51.	д.	Максимовка	Кипчак-Аскаровского-с/с	Альшевского р-на., Башкортостан.	2002	NA	53°56′07″, 55°03′40″	x		
149.	д.	Малая Шокша	Шокшинского-с/с	Теньгушевского р-на., Мордовия.	2002	NA	54°48′00″, 42°28′00″	E		
151.	с.	Малое Маресево	Маломаресевского-с/с	Чамзинского р-на., Мордовия.	2002	NA	54°18′00″, 45°35′00″	E		
11.	с.	Малые Кармалы	Малокармалинского-с/с	Ибресинского р-на., Чувашия.	2002	NA	55°09′10″, 47°13′10″	E		
8.	с.	Малый Калтай	Черемушкинского-с/с	Залесовского р-на., Алтайский край.	2002	NA	53°59′31″, 84°10′24″	x		
157.	с.	Мамолаево	Мамолаевского-с/с	Ковылкинского р-на., Мордовия.	2002	NA	54°17′42″, 43°57′51″	M		
159.	с.	Мельсетьево	Мельсетьевскго-с/с	Теньгушевского р-на., Мордовия.	2002	NA	54°45′00″, 42°25′00″	E		
56.	д.	Михайловка	Зильдяровского-с/с	Мишкинского р-на., Башкортостан.	2002	NA	55°41′49″, 56°07′37″	x		
52.	д.	Михайловка	Михайловского-с/с	Аургазинского р-на., Башкортостан.	2002	NA	53°57′30″, 55°37′36″	x		
53.	с.	Михайловка	Михайловского-с/с	Дуванского р-на., Башкортостан.	2002	NA	55°34′44″, 57°55′47″	x		
55.	д.	Михайловка	Скворчинского-с/с	Ишимбайского р-на., Башкортостан.	2002	NA	53°18′38″, 56°00′13″	x		
54.	д.	Михайловка	Суккуловского-с/с	Ермекеевского р-на., Башкортостан.	2002	NA	54°15′03″, 53°44′04″	E		
57.	х.	Михайловка	Федоровского-с/с	Федоровского р-на., Башкортостан.	2002	NA	52°55′49″, 55°17′47″	x		
164.	с.	Мокшалей	Мокшалейского-с/с	Чамзинского р-на., Мордовия.	2002	NA	54°15′18″, 45°37′36″	E		
44.	п.	Молот	Высококолковского-с/с	Новомалыклинского р-на., Ульяновская обл.	2002	NA	54°12′00″, 49°56′00″	x		
167.	д.	Мордовская Авгура	Унуевско-Майданского-с/с	Ковылкинского р-на., Мордовия.	2002	NA	54°29′25″, 44°31′16″	M		
45.	с.	Мордовская Бектяшка	Русско-Бектяшкинского-с/с	Сенгилеевского р-на., Ульяновская обл.	2002	NA	53°58′00″, 48°48′00″	x		
30.	с.	Мордовская Ивановка	Нижнечершилинского-с/с	Лениногорского р-на., Татарстан.	2002	NA	54°43′21″, 52°05′30″	x		
46.	д.	Мордовская Кандарать	Мордово-Белоключевского-с/с	Вешкаймского р-на., Ульяновская обл.	2002	NA	54°10′00″, 47°17′00″	x		
47.	с.	Мордовская Карагужа	Мордово-Карагужинского-с/с	Радищевского р-на., Ульяновская обл.	2002	NA	52°49′36″, 48°10′20″	x		
48.	с.	Мордовская Темрязань	Полипановского-с/с	Барышского р-на., Ульяновская обл.	2002	NA	53°39′00″, 47°07′00″	x		
12.	д.	Мордовские Тюки	Шемуршинского-с/с	Шемуршинского р-на., Чувашия.	2002	NA	54°50′36″, 47°24′21″	x		
49.	с.	Мордовский Белый Ключ	Мордовско-Белоключевского-с/с	Вешкаймского р-на., Ульяновская обл.	2002	NA	53°56′13″, 46°57′09″	x		
50.	с.	Мордовский Канадей	Дубровского-с/с	Николаевского р-на., Ульяновская обл.	2002	NA	53°07′00″, 47°12′00″	x		
51.	с.	Мордовский Шмалак	Татарско-Шмалакского-с/с	Павловского р-на., Ульяновская обл.	2002	NA	52°47′27″, 46°59′01″	x		
58.	п.	Мряушлинский	Иргюбякского-с/с	Кугарчинского р-на., Башкортостан.	2002	NA	52°54′30″, 56°31′55″	x		
27.	с.	Наваты	Озерского-с/с	Пильнинского р-на., Нижегородская обл.	2002	NA	55°26′53″, 46°16′37″	E		
52.	д.	Найман	Холстовского-с/с	Павловского р-на., Ульяновская обл.	2002	NA	52°51′55″, 47°12′56″	x		
53.	д.	Налитово	Первомайского-с/с	Инзенского р-на., Ульяновская обл.	2002	NA	54°13′00″, 46°26′00″	x		
13.	с.	Напольное	Напольновского-с/с	Порецкого р-на., Чувашия.	2002	NA	55°07′32″, 46°21′33″	E		
189.	с.	Нароватово	Нароватовского-с/с	Теньгушевского р-на., Мордовия.	2002	NA	54°43′00″, 42°41′00″	E		
59.	с.	Наумкино	Турсагалинского-с/с	Аургазинского р-на., Башкортостан.	2002	NA	53°53′41″, 55°46′39″	x		
60.	д.	Нижние Карамалы	Бакеевского-с/с	Стерлибашевского р-на., Башкортостан.	2002	NA	53°21′56″, 55°28′35″	x		
61.	с.	Нижний Алыштан	Булякаевского-с/с	Федоровского р-на., Башкортостан.	2002	NA	53°18′18″, 55°10′29″	E		
1.	с.	Нижний Балыклей	Нижнебалыклейского-с/с	Приморского р-на., Волгоградская обл.	2002	NA	49°29′44″, 45°08′27″	x		
62.	д.	Нижняя Курмаза	Елбулактамакского-с/с	Бижбулякского р-на., Башкортостан.	2002	NA	53°35′22″, 54°17′00″	E		
10.	с.	Нижняя Лебежайка	Благодатинского-с/с	Хвалынского р-на., Саратовская обл.	2002	NA	52°42′29″, 48°05′32″	M		
14.	п.	Низовка	Засурско-Безднинского-с/с	Алатырского р-на., Чувашия.	2002	NA	54°49′44″, 46°44′51″	x		
15.	д.	Низовка	Напольновского-с/с	Порецкого р-на., Чувашия.	2002	NA	54°49′39″, 46°44′46″	x		
54.	с.	Никитино	Дубровского-с/с	Николаевского р-на., Ульяновская обл.	2002	NA	53°07′00″, 47°12′00″	x		
63.	п.	Николаевка	Михайловского-с/с	Аургазинского р-на., Башкортостан.	2002	NA	54°01′25″, 56°05′54″	x		
6.	д.	Никольск	Ново-Митропольского-с/с	Тюхтецкого р-на., Красноярский край.	2002	NA	56°33′04″, 89°47′25″	x		
10.	п.	Никольский	Борисовского-с/с	Залесовского р-на., Алтайский край.	2002	NA	54°3′21″, 85°1′15″	x		
55.	д.	Новая Алексеевка	Старопичеурского-с/с	Павловского р-на., Ульяновская обл.	2002	NA	52°49′57″, 47°06′49″	x		
29.	д.	Новая Березовка	Староберезовского-с/с	Сергачского р-на., Нижегородская обл.	2002	NA	55°28′52″, 45°41′49″	E		
56.	с.	Новая Бесовка	Высококолковского-с/с	Новомалыклинского р-на., Ульяновская обл.	2002	NA	54°04′32″, 50°05′00″	x		
16.	д.	Новая Деревня	Еметкинского-с/с	Козловского р-на., Чувашия.	2002	NA	55°50′00″, 48°10′00″	x		
74.	с.	Новая Каштановка	Корсаевского-с/с	Белинского р-на., Пензенская обл.	2002	NA	53°01′29″, 43°15′12″	M		
57.	с.	Новая Куликовка	Высококолковского-с/с	Новомалыклинского р-на., Ульяновская обл.	2002	NA	54°04′32″, 50°05′00″	x		
58.	с.	Новая Малыкла	Новомалыклинского-с/с	Новомалыклинского р-на., Ульяновская обл.	2002	NA	54°12′19″, 49°55′44″	x		
202.	д.	Новая Самаевка	Новотолковского-с/с	Ковылкинского р-на., Мордовия.	2002	NA	54°14′00″, 44°02′00″	M		
204.	с.	Новая Толковка	Новотолковского-с/с	Ковылкинского р-на., Мордовия.	2002	NA	54°14′00″, 44°02′00″	M		
17.	п.	Новиковка	Засурско-Безднинского-с/с	Алатырского р-на., Чувашия.	2002	NA	54°50′37″, 46°41′30″	x		
64.	д.	Новоандреевка	Шаймуратовского-с/с	Кармаскалинского р-на., Башкортостан.	2002	NA	54°24′20″, 55°57′46″	E		
18.	п.	Новое Алтышево	Засурско-Безднинского-с/с	Алатырского р-на., Чувашия.	2002	NA	54°49′11″, 46°43′27″	x		
79.	с.	Новое Ерёмкино	Новоерем к »некого-с/с	Ставропольского р-на., Самарская обл.	2002	NA	53°39′21″, 49°51′57″	x		
12.	с.	Новое Захаркино	Новозахаркинского-с/с	Петровского р-на., Саратовская обл.	2002	NA	52°10′40″, 45°19′30″	x		
59.	с.	Новое Матюшкино	Староматюшкинского-с/с	Чердаклинского р-на., Ульяновская обл.	2002	NA	54°23′00″, 49°04′00″	x		
65.	д.	Новое Русло	Новоивановского-с/с	Стерлитамакского р-на., Башкортостан.	2002	NA	53°34′32″, 55°55′09″	x		
11.	п.	Новокрасилово	Гоношихинского-с/с	Сорокинского р-на., Алтайский край.	2002	NA	53°53′00″, 84°43′00″	x		
66.	д.	Новомихайловка	Михайловского-с/с	Дуванского р-на., Башкортостан.	2002	NA	55°31′40″, 57°53′12″	x		
67.	х.	Новомукатовка	Рязановского-с/с	Стерлитамакского р-на., Башкортостан.	2002	NA	53°42′38″, 55°44′44″	E		
68.	д.	Новониколаевка	Бакеевского-с/с	Стерлибашевского р-на., Башкортостан.	2002	NA	53°46′58″, 55°27′32″	x		
5.	с.	Новорождественское	Зенковского-с/с	Прокопьевском р-на., Кемеровская обл.	2002	NA	53°46′01″, 86°44′55″	x		
60.	с.	Новосурск	Коржевского-с/с	Инзенского р-на., Ульяновская обл.	2002	NA	54°13′50″, 46°26′51″	x		
69.	д.	Новофедоровка	Сатыевского-с/с	Мишкинского р-на., Башкортостан.	2002	NA	53°30′16″, 54°38′38″	x		
14.	д.	Новые Бегучи	Таволожского-с/с	Петровского р-на., Саратовская обл.	2002	NA	52°19′00″, 45°23′00″	x		
70.	с.	Новые Сулли	Купченеевского-с/с	Ермекеевского р-на., Башкортостан.	2002	NA	54°09′51″, 53°36′33″	E		
224.	с.	Новые Турдаки	Новотурдаковского-с/с	Кочкуровского р-на., Мордовия.	2002	NA	53°54′11″, 45°21′18″	E		
62.	д.	Новый Пичеур	Старопичеурского-с/с	Павловского р-на., Ульяновская обл.	2002	NA	52°50′38″, 47°02′41″	x		
63.	п.	Новый Суходол	Бряндинского-с/с	Чердаклинского р-на., Ульяновская обл.	2002	NA	54°22′00″, 49°22′00″	x		
227.	д.	Новый Шукстелим	Подгорно-Канакоаского-с/с	Темниковского р-на., Мордовия.	2002	NA	54°35′23″, 43°16′12″	M		
61.	п.	Новый	Прасковьинского-с/с	Николаевского р-на., Ульяновская обл.	2002	NA	53°01′00″, 47°09′00″	x		
12.	с.	Ногино	Порысевского-с/с	Краюшкинского р-на., Алтайский край.	2002	NA	53°57′19″, 84°13′30″	x		
127.	с.	Нойкино	Советского-с/с	Бугуруслланского р-на., Оренбургская обл.	2002	NA	53°47′22″, 52°43′36″	E		
7.	п.	Озерный	Полтавского-с/с	Карталинского р-на., Челябинская обл.	2002	NA	53°05′27″, 60°52′24″	x		
64.	п.	Оклино	Большеборлинского-с/с	Тереньгульского р-на., Ульяновская обл.	2002	NA	53°34′00″, 48°10′00″	x		
71.	п.	Ольховка	Каменского-с/с	Бижбулякского р-на., Башкортостан.	2002	NA	53°31′50″, 54°34′03″	x		
15.	с.	Оркино	Оркинского-с/с	Петровского р-на., Саратовская обл.	2002	NA	52°19′00″, 45°23′00″	E		
16.	с.	Осановка	Балтайского-с/с	Балтайского р-на., Саратовская обл.	2002	NA	52°27′00″, 46°37′00″	x		
65.	с.	Оськино	Оськинского-с/с	Инзенского р-на., Ульяновская обл.	2002	NA	53°50′11″, 46°17′08″	x		
17.	д.	Павловка	Таволожского-с/с	Петровского р-на., Саратовская обл.	2002	NA	52°19′00″, 45°23′00″	x		
66.	с.	Паркино	Помаевского-с/с	Сурского р-на., Ульяновская обл.	2002	NA	54°16′00″, 46°51′00″	x		
73.	д.	Петровка	Балыклинского-с/с	Федоровского р-на., Башкортостан.	2002	NA	53°07′45″, 55°20′06″	x		
74.	с.	Петряево	Ибрагимовского-с/с	Чишминского р-на., Башкортостан.	2002	NA	54°20′35″, 55°35′50″	E		
37.	с.	Печи	Печинского-с/с	Лукояновского р-на., Нижегородская обл.	2002	NA	54°48′08″, 44°19′21″	M		
75.	п.	Пионерский	Спартакского-с/с	Ермекеевского р-на., Башкортостан.	2002	NA	53°58′51″, 53°45′08″	x		
96.	с.	Пичёвка	Козловского-с/с	Белинского р-на., Пензенская обл.	2002	NA	52°57′06″, 43°11′54″	M		
249.	с.	Подгорное Канаково	Подгорно-Канаковского-с/с	Темниковского р-на., Мордовия.	2002	NA	54°34′20″, 43°17′04″	M		
67.	п.	Подгорный	Оськинского-с/с	Инзенского р-на., Ульяновская обл.	2002	NA	53°50′00″, 46°17′00″	x		
68.	с.	Поддубное	Черемушкинского-с/с	Инзенского р-на., Ульяновская обл.	2002	NA	53°43′31″, 46°27′16″	x		
250.	с.	Подлесная Тавла	Напольно-Тавлинского-с/с	Кочкуровского р-на., Мордовия.	2002	NA	54°05′50″, 45°28′45″	E		
69.	с.	Подлесно-Мордовский Юрткуль	Русско-Юрткульского-с/с	Старомайиского р-на., Ульяновская обл.	2002	NA	54°46′00″, 49°11′00″	M		
70.	с.	Помаево	Помаевского-с/с	Сурского р-на., Ульяновская обл.	2002	NA	54°37′08″, 47°11′53″	x		
260.	с.	Потякши	Красноподгорного-с/с	Краснослободского р-на., Мордовия.	2002	NA	54°31′17″, 43°46′17″	M		
77.	п.	Прогресс	Каменского-с/с	Бижбулякского р-на., Башкортостан.	2002	NA	53°33′51″, 54°00′08″	x		
140.	с.	Просторы	Просторского-с/с	Кваркенского р-на., Оренбургская обл.	2002	NA	52°12′21″, 59°19′31″	x		
262.	с.	Протасово	Протасовского-с/с	Большеигнатовского р-на., Мордовия.	2002	NA	54°58′00″, 45°30′00″	E		
263.	с.	Пуркаево	Пуркаевского-с/с	Дубенского р-на., Мордовия.	2002	NA	54°22′30″, 46°38′06″	E		
79.	х.	Пучинский	Дергачевского-с/с	Стерлитамакского р-на., Башкортостан.	2002	NA	53°37′00″, 55°57′00″	x		
101.	с.	Пылково	Пылковского-с/с	Лопатинского р-на., Пензенская обл.	2002	NA	52°41′06″, 45°52′00″	E		
265.	с.	Пянгелей	Мокшалейского-с/с	Чамзинского р-на., Мордовия.	2002	NA	54°16′59″, 45°45′16″	E		
102.	с.	Пяркино	Корсаевского-с/с	Белинского р-на., Пензенская обл.	2002	NA	52°57′16″, 43°16′27″	M		
80.	п.	Ракитовка	Бекетовского-с/с	Кармаскалинского р-на., Башкортостан.	2002	NA	54°26′50″, 55°54′37″	E		
103.	п.	Ранго-Лисьма	Песчанского-с/с	Шемышейского р-на., Пензенская обл.	2002	NA	52°58′00″, 45°30′00″	M		
71.	д.	Раштановка	Холстовского-с/с	Павловского р-на., Ульяновская обл.	2002	NA	52°41′00″, 47°08′00″	x		
81.	д.	Романовка	Сихонкинского-с/с	Кармаскалинского р-на., Башкортостан.	2002	NA	54°28′07″, 56°01′58″	x		
18.	д.	Рузаевка	Синеньского-с/с	Петровского р-на., Саратовская обл.	2002	NA	52°19′00″, 45°23′00″	x		
268.	с.	Рыбкино	Рыбкинского-с/с	Ковылкинского р-на., Мордовия.	2002	NA	54°15′38″, 43°46′12″	M		
20.	с.	Рындино	Турдаковского-с/с	Порецкого р-на., Чувашия.	2002	NA	55°04′57″, 46°18′37″	E		
19.	с.	Рязайкино	Казанлинского-с/с	Базарно-Карабулакского р-на., Саратовская обл.	2002	NA	52°16′00″, 46°24′00″	x		
20.	д.	Рязановка	Синеньского-с/с	Петровского р-на., Саратовская обл.	2002	NA	52°19′00″, 45°23′00″	x		
270.	с.	Сабанчеево	Сабанчеевского-с/с	Атяшевского р-на., Мордовия.	2002	NA	54°34′00″, 46°16′00″	E		
21.	с.	Савкино	Ножкинского-с/с	Петровского р-на., Саратовская обл.	2002	NA	52°19′00″, 45°23′00″	x		
82.	с.	Садовка	Буриказгановского-с/с	Стерлитамакского р-на., Башкортостан.	2002	NA	53°46′36″, 55°44′49″	x		
44.	с.	Санки	Санковского-с/с	Лукояновского р-на., Нижегородская обл.	2002	NA	54°50′53″, 44°13′47″	M		
22.	д.	Саратовка	Новозахаркинского-с/с	Петровского р-на., Саратовская обл.	2002	NA	52°19′00″, 45°23′00″	x		
83.	х.	Саратовский	Дмитриевского-с/с	Зилаирского р-на., Башкортостан.	2002	NA	52°23′14″, 57°13′14″	x		
23.	п.	Северный	Северного-с/с	Хвалынского р-на., Саратовская обл.	2002	NA	52°29′00″, 48°06′00″	x		
282.	д.	Сейтяновка	Большеазясьского-с/с	Ковылкинского р-на., Мордовия.	2002	NA	54°11′34″, 43°40′56″	M		
84.	п.	Сергеевка	Каменского-с/с	Бижбулякского р-на., Башкортостан.	2002	NA	53°41′00″, 54°16′00″	x		
85.	с.	Сергеевка	Новиковского-с/с	Федоровского р-на., Башкортостан.	2002	NA	53°01′09″, 55°19′19″	x		
25.	п.	Скат	Малоозерского-с/с	Новобурасского р-на., Саратовская обл.	2002	NA	52°17′29″, 45°48′31″	x		
